gold_id,span,type,our_status,our_uri,our_label,our_score,job_id,company,title,city,langs,context,judgment,gold_uri,gold_notes
27,笔译服务,L,no_match,custom:language/7229185a27c1,[CUSTOM] 笔译服务 (self-defined),0.4557,3869,江苏南大光电材料股份有限公司,日语翻译,淄博,日语,"一、岗位职责：
负责公司外聘的日本专家（化工、电子特气方向）的随身@@日语口译##[L]、@@笔译服务##[L]，并负责上下班开车接送；
二、任职要求：
1、学历专业：本科及以上学历；@@日语相关专业##[L]；@@日语1级##[L]；具有@@日本留学##[L]或在日工作经验者优先；
2、年龄：25-35周岁；
3、工作经验：2年以上@@日语口译##[L]、@@笔译工作经验##[L]，流畅的@@日",,,
28,DALF-C1,L,no_match,custom:language/9e9b0f4e3a22,[CUSTOM] DALF-C1 (self-defined),0.2355,809,广东道氏技术股份有限公司,法语翻译,佛山,法语,"一、工作内容： 
1、工作岗位可根据自身经验/特长安排，可从事@@行政外联##[S]、@@采购##[S]、@@物流##[S]、@@商务谈判##[S]等各方面工作； 
2、@@行政外联##[S]/@@商务谈判##[S]：参加与国外客户的@@商业谈判##[S]、处理当地社会事务，参与国外@@政商关系的开拓与维系##[S]； 
3、@@采购物流##[S]：负责安排并协调@@进出口货物##[S]、协助@@",,,
29,英语六级证书,L,no_match,custom:language/ad79513ddcfc,[CUSTOM] 英语六级证书 (self-defined),0.4089,2861,益海嘉里英联马利食品（东莞）有限公司,外贸业务员,秦皇岛,西班牙语,"1.@@负责国际市场的维护##[S]以及@@新客户的开发##[S]；
2.@@负责掌握各潜在消费国市场动态##[S]并及时@@反馈市场信息##[S]，定期@@做出市场分析报告##[S]，确定后期@@销售策略##[S]；
3.@@负责与客户协商解决合同执行过程中出现的问题##[S]以及@@客户收货后的后续跟踪维护##[S]稳定良好的合作关系；
4.完成领导交办的其他工作。
岗位要求：
1.统招本科及",,,
30,日文翻译证书,L,no_match,custom:language/c591373cb0ac,[CUSTOM] 日文翻译证书 (self-defined),0.0,1151,安徽中盛溯源生物科技有限公司,日语翻译,合肥,日语,"岗位职责
1、负责市场文案资料的翻译、整理、编辑;
2、撰写公司宣发内容资讯、文章、PPT等文案，检索及查阅文献:
3、定期阅读、浏览细胞行业相关期刊或网站，及时掌握负责领域的学术动态;
4、微信公众号、官网等软文撰写，编辑，推送;
5、上级安排的其他工作。
任职要求：
1、日文专业本科及以上学历；
2、1年以上的日文医药领域翻译经验。
3、持有@@日文翻译证书##[L]，如@@日本语能力测试N1",,,
31,中泰语,L,no_match,custom:language/a6df8287828e,[CUSTOM] 中泰语 (self-defined),0.0,2830,广东喜珍电路科技有限公司,行政科长/主管（出差泰国）,肇庆,泰语,"岗位职责：
1、负责行政日常事务工作管理及人员管理
2、按行政中心的工作部署，负责基地的落地执行
3、建立行政文件体系
4、负责行政外包项目的现场监督管理，负责安全、环保的监管
岗位要求：
1、国籍不限、性别不限
2、语言要求：懂@@中泰语##[L]（语言、书面）优先考虑
3、学历：大专或以上学历
4、工作经验：5年以上行政安全管理经验，3年以上同岗管理经验
技能要求：熟悉@@泰国劳工、安全、环保",,,
32,书面和口语能力,L,no_match,custom:language/e644a9cba41a,[CUSTOM] 书面和口语能力 (self-defined),0.0,1494,添可智能科技有限公司,海外服务专员 (MJ002182),苏州,通用小语种,"岗位职责：
1、@@参与海外维修和翻新中心、物流服务商的建立##[S]；
2、@@管理和清退海外服务商##[S]；
3、@@收集海外服务数据##[S]、@@统计分析##[S]和@@监控服务质量##[S]；
4、@@支持海外服务商费用结算##[S]；
5、完成领导交办的其他工作任务。
岗位要求：
1、本科及以上学历，@@英语##[L]或小语种相关专业；
2、有@@海外售后服务商管理##[S]、@@海",,,
33,双语,L,no_match,custom:language/07489c0d6e2e,[CUSTOM] 双语 (self-defined),0.0,2270,宁波容百新能源科技股份有限公司,成本预算主管(外派)(J10909),宁波,通用小语种,"工作职责:
1.每月进行@@库存盘点##[S]并@@出具盘点报告##[S]
2.完成@@成本核算##[S]，并对成本进行@@预实分析##[S]，跟进@@成本降低方案##[S]的落地
3.每周/每月进行@@利润预测##[S]，不断提高@@利润预测的准确性##[S]
4.编制@@年度预算##[S]，跟进公司的@@独立核算目标##[K]的完成
5.中韩@@外部审计##[S]应对
任职资格:
1.本科及以",,,
34,韩语TOPIK5级,L,no_match,custom:language/9f0d0acea2e8,[CUSTOM] 韩语TOPIK5级 (self-defined),0.4656,4771,盛美半导体设备（上海）股份有限公司,机械结构工程师（会韩语）,上海,韩语,"岗位职责:
1. 参与公司半导体设备类的项目设计,同时遵守设计规则，按时完成任务交付
2. 根据任务安排,完成设计任务，完成@@3D&2D图纸##[S],并发布文档到生产
3. 通过与经验丰富的工程师合作,分析和评估各个功能的设计方案可行性，
4. 具有独立设计和独立实验的能力，并能积极参与理论分析、实验，根据结果不断优化设计方向。
5. 新开发的功能需要与资深工程师、测试工程师和供应商一起进行设",,,
35,中日双语翻译,L,no_match,custom:language/113dae20c922,[CUSTOM] 中日双语翻译 (self-defined),0.0,2065,北京中外翻译咨询有限公司,日语翻译,北京,"日语, 通用小语种","岗位职责：
1. 负责接听和@@翻译##[S]指定平台上的服务热线电话，解答客户咨询，并处理相关事宜；
2. 可对客户的要求进行@@归纳总结##[S]，完成客户需求；
3. 处理笔译文件，包括@@翻译##[S]、@@审校##[S]、@@质检##[S]等任务；
4. 执行上级交给的其他任务。


任职要求：
1. 具备一定的@@日语听说读写能力##[L]，听力口语能力优秀，可以使用@@日语##[L]",,,
36,商务英语证书,L,no_match,custom:language/de3cdb63bac7,[CUSTOM] 商务英语证书 (self-defined),0.4613,4957,仙乐健康科技股份有限公司,销售项目管理（海外客户）,汕头,"俄语, 德语, 意大利语, 法语, 西班牙语","1、对接国外销售经理，包括但不限于充分@@理解客户需求##[S]，@@推动内部支持部门进行项目开发##[S]。
2、按照客户要求@@安排报价以及寄送样品##[S]，并及时跟进到确认。
3、能@@灵活应变##[T]，@@高效组织##[T]，@@快速响应##[T]，确保项目按时落地，完成销售目标。
4、@@组织双方或多方会议##[S]，包括业务经理、客户以及内部同事，有条理@@安排会议内容##[S]，",,,
37,韩语翻译证书,L,no_match,custom:language/2ddf45f55ac6,[CUSTOM] 韩语翻译证书 (self-defined),0.0,360,南京奥联汽车电子电器股份有限公司,韩语翻译,北京,韩语,"【工作内容】
- 负责韩国客户会议现场@@同声翻译##[S]
【任职要求】
- 具备良好的@@韩语##[L]听、说、读、写能力，有较高的@@翻译技巧##[S]和@@专业素养##[T]；
- 拥有@@韩语翻译证书##[L]者优先考虑；
- 熟悉@@商务沟通##[T]和@@文档撰写##[S]，具备较强的@@语言组织能力##[T]和@@逻辑思维能力##[T]；
- 工作认真负责，具有良好的@@团队合作精",,,
38,西语听说读写能力,L,no_match,custom:language/77698f1af711,[CUSTOM] 西语听说读写能力 (self-defined),0.0,870,杭州联德精密机械股份有限公司,西班牙语翻译,杭州,西班牙语,"1、承担我司业务相关的的@@翻译工作##[S]，配合完成各类@@西班牙语翻译需求##[S]；
2、协助项目团队的@@西班牙语支持需求##[S]； 3、@@口语流利##[S]，@@沟通能力强##[T]
岗位要求:
1、本科及以上学历，具备@@西语等级证书##[L]，流利的@@西语听说读写能力##[L]以及@@英语能力##[L]，精通@@英西互译##[S]，@@笔译口译能力强##[S]；
2、工作认真",,,
39,CATTI笔译二级,L,no_match,custom:language/ee3ab728b992,[CUSTOM] CATTI笔译二级 (self-defined),0.3941,326,北京中外翻译咨询有限公司,英语翻译（审校岗）,北京,通用小语种,"岗位职责：
1.@@翻译项目流程及质量管控##[S]，@@完善质量标准##[S]；
2.为内部和外部翻译交付内容做@@质控##[S]，保证交付质量；
3.负责向项目经理提供译员翻译质量的反馈；
4.负责@@管理术语表##[S]和@@TM##[S]；
5.参与@@制定可译性指南##[S]、@@翻译风格手册##[S]、@@维护自动检测规则##[S]；
6.为团队其他成员提供@@语言质量培训##[S]；",,,
40,泰文,L,no_match,custom:language/da5d5faa4be0,[CUSTOM] 泰文 (self-defined),0.3752,497,南通超达装备股份有限公司,项目助理（泰语）,南通,泰语,"1、泰籍人员
2、项目过程中@@泰文##[L]中文场陪同@@翻译##[S]； 
3、公司书信及文件的@@翻译##[S]工作； 
4、公司重要@@会议纪录##[K]及纪要的@@整理##[S]； 
5、公司内部@@沟通##[T]、@@信息追踪##[S]、传达领导的各项旨意； 
6、领导交办工作的@@督办##[S]、@@协调##[S]及@@落实##[S]。",,,
41,全国翻译资格水平考试3级口译及以上证书,L,no_match,custom:language/066bd07647a3,[CUSTOM] 全国翻译资格水平考试3级口译及以上证书 (self-defined),0.4437,1896,连云港金辰实业有限公司,法语翻译（连云港、南京）,连云港,法语,"任职资格要求
1、学历：全日制大学本科及以上学历，
2、专业：@@法语专业四级及以上证书##[L]，具备以下条件之一者优先：
1）@@专业八级##[L]；2）@@全国翻译资格水平考试3级口译及以上证书##[L]；3）有军队院校服务保障经历。
岗位职责：
负责外籍留学生日常管理、生活保障等@@翻译服务##[S]， 包括外籍留学生引导教育、外出参观、看病就医等@@翻译保障任务##[S]，以及单位领导交",,,
42,期货从业资格考试,L,no_match,custom:language/f99fdde3d92a,[CUSTOM] 期货从业资格考试 (self-defined),0.2928,395,华泰期货有限公司,互联网营销岗,广州,泰语,"岗位职责：
1、为零售客户提供高效优质的服务，增加客户粘性，持续提升客户的贡献度；
2、负责互联网引流潜在客户的转化，促成开户与入金交易 ；
3、负责零售客户投资者教育与社群运营；
4、对客户转化及留存等指标负责；
5、协助完成上级安排工作。
 岗位要求：
1、本科及以上学历，金融、财务、营销等相关专业的应届生，具有金融行业客户开拓及维护服务经验者优先；
2、遵从华泰文化价值观，敬业爱岗，具有良好",,,
43,柬埔寨语,L,no_match,custom:language/882dc01505e1,[CUSTOM] 柬埔寨语 (self-defined),0.0,119,浙江大华技术股份有限公司,【海外营销中心】2024届海外销售管培生（小语种）(J19575),杭州,"印尼语, 土耳其语, 德语, 柬埔寨语, 泰语, 葡萄牙语, 通用小语种","工作职责: 
1、深入了解当地市场，与海外客户面对面@@沟通交流##[T]； 
2、@@维系老客户##[S]，@@开拓海外新市场##[S]； 
3、@@策划市场活动##[S]，提升海外本地品牌影响力； 
4、@@收集、分析客户信息##[S]，及时@@提交各类分析报告##[S]等。 
任职资格: 
1、本科及以上学历，@@柬埔寨语##[L]、@@葡语##[L]、@@泰语##[L]、@@土耳其语##[",,,
44,泰语听说读写能力,L,no_match,custom:language/c43b75e9e3a4,[CUSTOM] 泰语听说读写能力 (self-defined),0.0,442,武汉华工新高理电子有限公司,泰语销售助理,武汉,泰语,"岗位职责：
1、负责与泰国工厂的@@日常沟通##[S]，确保信息准确无误的传达；
2、协助处理泰国工厂所需物料的@@采购##[S]、@@运输##[S]及@@清关事宜##[S]；
3、使用@@泰语##[L]进行邮件、电话等@@商务沟通##[S]，@@解决物流过程中出现的问题##[S]，@@跟踪物料发货进度##[S]，确保按时按量到达目的地；
4、@@维护与泰国客户的关系##[S]，及时反馈客户需求。",,,
45,电焊作业证,L,no_match,custom:language/0dacdb2de619,[CUSTOM] 电焊作业证 (self-defined),0.2439,2248,上海凯士比泵有限公司,现场服务工程师(J10697),,通用小语种,"工作职责:
1. Comply with company rules and regulations, safety rules and on-site service specifications; Maintain company interests
 遵守公司规章制度、安全准则和现场服务规范，维护公司利益；
2. Provide on-site service to customers ac",,,
46,口语、书面表达能力,L,no_match,custom:language/395b1031ca39,[CUSTOM] 口语、书面表达能力 (self-defined),0.0,2023,深圳市新嘉拓自动化技术有限公司,海外项目技术翻译/多语种,肇庆,通用小语种,"岗位职责：
负责公司涉外项目的@@翻译工作##[S]，包括@@口译##[S]，@@撰写、审核、翻译、校对##[S]等工作。
主要职责：
- 负责公司涉外项目的@@翻译工作##[S]，确保项目的顺利进行；
- @@撰写项目相关的翻译文件##[S]，包括合同、产品描述、广告等；
- @@审核翻译文件##[S]，确保翻译质量符合要求；
- @@完成项目相关的翻译工作##[S]，包括把中文文档翻译成英文（",,,
